commodity_name,update_date,update_time,price,change,day_percent,week_percent,month_percent,yoy_percent,currency,quantity,data_date,last_price
Aluminum,6/6/2022,10:55:09 AM,2767,41,1.5,-4.21,0.44,14.19,USD,T,6/6/2022,NULL
Baltic Dry,6/6/2022,10:55:10 AM,2560,-73,-2.77,0,-9.57,5.44,Index,NULL,6/6/2022,NULL
Baltic Dry R,6/6/2022,10:55:10 AM,2633,0,0,NULL,NULL,NULL,Index,NULL,6/5/2022,2633
Beef,6/6/2022,10:55:09 AM,20.25,0.05,-0.25,-1.17,-6.64,0.4,BRL,Kg,6/3/2022,NULL
Bitumen,6/6/2022,10:55:09 AM,4693,115,2.51,1.87,9.01,49.74,CNY,T,6/6/2022,NULL
Brent,6/6/2022,10:55:09 AM,119.69,0.03,-0.03,1.78,14.43,67.42,USD,Bbl,6/6/2022,NULL
Canola,6/6/2022,10:55:09 AM,1120,11.2,1.01,-5.58,-3.81,26.93,CAD,T,6/6/2022,NULL
Cheese,6/6/2022,10:55:09 AM,2.36,0,0.17,-2.36,-1.01,43.6,USD,Lbs,6/6/2022,NULL
Coal,6/6/2022,10:55:09 AM,412.5,0,0,1.44,16.2,239.23,USD,T,6/3/2022,NULL
Cobalt,6/6/2022,10:55:09 AM,74000,0,0,0,-9.76,73.97,USD,T,6/3/2022,NULL
Cocoa,6/6/2022,10:55:09 AM,2494,25,1.01,-0.08,0.44,6.13,USD,T,6/6/2022,NULL
Coffee,6/6/2022,10:55:09 AM,236.15,3.75,1.61,2.12,14.47,47.46,USd,Lbs,6/6/2022,NULL
Copper,6/6/2022,10:55:09 AM,4.43,0.04,-0.98,2.25,5.77,-2.24,USD,Lbs,6/6/2022,NULL
Corn,6/6/2022,10:55:09 AM,738,11,1.51,-4.93,-4.4,8.65,USd,BU,6/6/2022,NULL
Cotton,6/6/2022,10:55:09 AM,140.72,2.54,1.84,1.25,-1.55,66.81,USd,Lbs,6/6/2022,NULL
CRB Index,6/6/2022,10:55:09 AM,344.45,0.2,0.06,0.88,2.95,54.13,Index,Points,6/3/2022,NULL
